date,killed,wounded,city,state
2022-02-19 00:00:00+00:00,2,14,Charleston,MO
2022-02-19 00:00:00+00:00,2,2,Durham,NC
2022-02-17 00:00:00+00:00,0,4,Philadelphia,PA
2022-02-17 00:00:00+00:00,0,5,Houston,TX
2022-02-16 00:00:00+00:00,1,3,Miami,FL
2022-02-15 00:00:00+00:00,1,3,Joliet,IL
2022-02-13 00:00:00+00:00,1,5,Racine,WI
2022-02-12 00:00:00+00:00,1,3,Little Rock,AR
2022-02-12 00:00:00+00:00,0,4,West Hollywood,CA
2022-02-12 00:00:00+00:00,1,4,Murfreesboro,TN
2022-02-11 00:00:00+00:00,0,4,Springfield,MO
2022-02-11 00:00:00+00:00,2,9,Phoenix,AZ
2022-02-06 00:00:00+00:00,0,5,Romeoville,IL
2022-02-06 00:00:00+00:00,0,4,Wilmington,NC
2022-02-06 00:00:00+00:00,2,2,Fresno,CA
2022-02-06 00:00:00+00:00,0,4,Fort Lauderdale,FL
2022-02-05 00:00:00+00:00,0,4,Las Cruces,NM
2022-02-05 00:00:00+00:00,3,1,Brown Deer,WI
2022-02-05 00:00:00+00:00,6,2,Corsicana,TX
2022-02-04 00:00:00+00:00,1,4,Blacksburg,VA
2022-02-02 00:00:00+00:00,1,4,Oroville,CA
2022-02-01 00:00:00+00:00,0,5,Milwaukee,WI
2022-01-31 00:00:00+00:00,1,3,Raleigh,NC
2022-01-30 00:00:00+00:00,1,3,Augusta,GA
2022-01-30 00:00:00+00:00,1,4,Winter Haven,FL
2022-01-29 00:00:00+00:00,0,4,Bakersfield,CA
2022-01-29 00:00:00+00:00,3,1,St. Louis,MO
2022-01-29 00:00:00+00:00,1,3,Atlanta,GA
2022-01-28 00:00:00+00:00,4,0,Goodlettsville,TN
2022-01-27 00:00:00+00:00,2,3,Tulare Co. (Ducor),CA
2022-01-27 00:00:00+00:00,0,4,Houston,TX
2022-01-27 00:00:00+00:00,1,4,Washington,DC
2022-01-23 00:00:00+00:00,6,0,Milwaukee,WI
2022-01-23 00:00:00+00:00,4,1,Inglewood,CA
2022-01-22 00:00:00+00:00,1,3,Midland,WA
2022-01-19 00:00:00+00:00,0,4,New Orleans,LA
2022-01-19 00:00:00+00:00,3,1,Baltimore,MD
2022-01-18 00:00:00+00:00,1,4,Miami,FL
2022-01-17 00:00:00+00:00,1,4,San Antonio,TX
2022-01-16 00:00:00+00:00,1,3,Fort Worth,TX
2022-01-16 00:00:00+00:00,1,3,Savannah,GA
2022-01-15 00:00:00+00:00,0,4,Knoxville,TN
2022-01-15 00:00:00+00:00,3,1,Wilmington,NC
2022-01-15 00:00:00+00:00,2,2,Martinsville,VA
2022-01-15 00:00:00+00:00,3,1,Augusta,GA
2022-01-15 00:00:00+00:00,1,5,Brunswick,GA
2022-01-14 00:00:00+00:00,0,6,Eugene,OR
2022-01-13 00:00:00+00:00,1,3,Brooklyn,NY
2022-01-12 00:00:00+00:00,0,4,Chicago ,IL
2022-01-09 00:00:00+00:00,1,5,Los Angeles,CA
2022-01-09 00:00:00+00:00,0,4,Fresno,CA
2022-01-09 00:00:00+00:00,1,6,Montgomery,AL
2022-01-09 00:00:00+00:00,2,3,Colorado Springs,CO
2022-01-08 00:00:00+00:00,1,3,Houston,TX
2022-01-04 00:00:00+00:00,1,3,Jackson,MS
2022-01-02 00:00:00+00:00,2,2,Corsicana,TX
2022-01-02 00:00:00+00:00,2,2,San Antonio,TX
2022-01-01 00:00:00+00:00,2,2,Denver,CO
2022-01-01 00:00:00+00:00,0,4,Philadelphia (Frankford & Torresdale Aves),PA
2022-01-01 00:00:00+00:00,1,3,Kenosha,WI
2022-01-01 00:00:00+00:00,1,4,Philadelphia (Willington & 17th St),PA
2022-01-01 00:00:00+00:00,0,4,South Bend,IN
2022-01-01 00:00:00+00:00,0,5,Lake View (Dillon),SC
2022-01-01 00:00:00+00:00,0,4,Columbia,MO
2022-01-01 00:00:00+00:00,2,3,Peoria,IL
2022-01-01 00:00:00+00:00,1,3,Auburn,GA
